CPU_Usage,Memory_Usage,Network_IO,Status
0.011395325,107643.24,8739.596203,1
0.011395325,107643.24,8739.596203,1
0.011307793,95286.82503,8716.05564,1
0.011353162,104635.5695,8716.05564,1
0.011353162,104635.5695,8716.05564,1
0.011343093,106394.3247,7515.335975,1
0.011343093,106394.3247,8736.349686,1
0.011343093,106394.3247,8736.349686,1
0.011489381,180461.7485,8736.349686,1
0.011489381,180461.7485,8761.398723,1
0.011489381,180461.7485,8761.398723,1
0.008337276,108807.9644,8726.708821,1
0.011374708,182740.6871,8726.708821,1
0.011374708,182740.6871,8726.708821,1
0.011324026,155554.6307,8746.801523,1
0.011413909,179811.6329,8746.801523,1
0.011413909,179811.6329,8746.801523,1
0.011495195,227696.6083,8742.822405,1
0.011415853,178073.3584,8742.822405,1
0.011415853,178073.3584,8742.822405,1
0.011379439,124035.1662,8751.128379,1
0.011615548,164524.674,8748.114072,1
0.011615548,164524.674,8748.114072,1
0.01142901,102804.0635,8739.361739,1
0.01142901,102804.0635,8754.902884,1
0.01142901,102804.0635,8754.902884,1
0.011302354,90029.40295,7633.592433,1
0.011347026,102073.3384,8775.899955,1
0.011347026,102073.3384,8775.899955,1
0.011361957,104887.5175,8769.773259,1
0.011361957,104887.5175,8761.533075,1
0.011361957,104887.5175,8761.533075,1
0.011556073,147478.0041,8737.355673,1
0.011347591,109963.9839,8737.355673,1
0.011347591,109963.9839,8737.355673,1
0.011262637,92917.04441,8747.360438,1
0.011318923,106203.8837,8746.25861,1
0.011318923,106203.8837,8746.25861,1
0.011392185,107103.7786,8705.97519,1
0.011392185,107103.7786,8705.97519,1
0.011392185,107103.7786,8705.97519,1
0.01138623,180360.6136,8704.771538,1
0.01138623,180360.6136,8697.025439,1
0.01138623,180360.6136,8697.025439,1
0.011273389,178424.7254,8702.441858,1
0.011273389,178424.7254,8707.783675,1
0.011273389,178424.7254,8707.783675,1
0.01004622,204738.1638,7614.34026,1
0.011300241,176792.5883,8731.263638,1
0.011300241,176792.5883,8731.263638,1
0.011282998,183850.9022,8727.13812,1
0.011282998,183850.9022,8743.090383,1
0.011282998,183850.9022,8743.090383,1
0.011307806,132060.3695,8750.474116,1
0.011468522,166300.4161,8750.474116,1
0.011468522,166300.4161,8750.474116,1
0.011344553,119926.1538,8743.734652,1
0.0111938,99640.00322,8743.734652,1
0.0111938,99640.00322,8743.734652,1
0.011263433,104359.1211,7717.210061,1
0.011263433,104359.1211,8742.62117,1
0.011263433,104359.1211,8742.62117,1
0.011234317,93320.77418,7626.199375,1
0.011288465,101732.9198,8755.187996,1
0.011288465,101732.9198,8755.187996,1
0.011320048,108836.2945,8762.537877,1
0.011320048,108836.2945,8762.537877,1
0.011320048,108836.2945,8762.537877,1
0.011264132,91933.83824,8769.277534,1
0.011406483,106478.5104,8769.277534,1
0.011406483,106478.5104,8769.277534,1
0.009920979,92611.45909,8746.617956,1
0.011296679,103741.7331,8746.617956,1
0.011296679,103741.7331,8746.617956,1
0.011352114,120753.9459,8748.730257,1
0.011507134,155046.8678,8748.730257,1
0.011507134,155046.8678,8748.730257,1
0.011304565,95932.74463,8746.082964,1
0.011304565,95932.74463,8741.578994,1
0.011304565,95932.74463,8741.578994,1
0.01027318,93946.27438,7838.846891,1
0.01027318,93946.27438,7838.846891,1
0.01027318,93946.27438,7838.846891,1
0.006689658,153676.4581,7574.60713,1
0.007578349,174091.6819,5695.500322,1
0.007578349,174091.6819,5695.500322,1
0.005959825,136881.013,3545.358033,1
0.004344977,103513.2109,3545.358033,1
0.004344977,103513.2109,3545.358033,1
0.00374063,89115.47209,1497.916452,1
0.001899765,84688.26604,1497.916452,1
0.001899765,84688.26604,1497.916452,1
1.94E-05,81687.97068,21.00904682,0
1.94E-05,81687.97068,22.17293072,0
1.94E-05,81687.97068,22.17293072,0
2.06E-05,308.7126922,25.16087373,0
1.72E-05,259.9221852,19.96423453,0
1.72E-05,259.9221852,19.96423453,0
1.55E-05,234.5847191,19.96423453,0
1.55E-05,234.5847191,18.82410663,0
1.55E-05,234.5847191,18.82410663,0
1.52E-05,254.0031272,17.27592464,0
1.52E-05,254.0031272,17.27592464,0
1.52E-05,254.0031272,17.27592464,0
1.54E-05,251.1163109,14.72046373,0
1.38E-05,222.4264399,14.72046373,0
1.38E-05,222.4264399,14.72046373,0
1.63E-05,263.8121369,15.66408858,0
