"Time","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 21:58:00,0,48374.01100385521,304.7382001535324,0,48374.01100385521,304.7382001535324
2020-06-03 21:58:20,0,48374.01100385521,357.4326977616824,0,48374.01100385521,357.4326977616824
2020-06-03 21:58:40,0,48374.01100385521,357.4326977616824,0,48374.01100385521,357.4326977616824
2020-06-03 21:59:00,0,0,274.9836062012882,0,0,274.9836062012882
2020-06-03 21:59:20,0,0,309.9397764651945,0,0,309.9397764651945
2020-06-03 21:59:40,0,0,309.9397764651945,0,0,309.9397764651945
2020-06-03 22:00:00,0,47095.55182507613,40850.770192853706,0,47095.55182507613,40850.770192853706
2020-06-03 22:00:20,0,47095.55182507613,50656.0819188126,0,47095.55182507613,50656.0819188126
2020-06-03 22:00:40,0,47095.55182507613,50656.0819188126,0,47095.55182507613,50656.0819188126
2020-06-03 22:01:00,0,47778.721073531415,55232.76705302096,0,47778.721073531415,55232.76705302096
2020-06-03 22:01:20,52888.21216891619,47778.72107353143,45110.418918059884,52888.21216891619,47778.72107353143,45110.418918059884
2020-06-03 22:01:40,52888.21216891619,47778.72107353143,45110.418918059884,52888.21216891619,47778.72107353143,45110.418918059884
2020-06-03 22:02:00,52888.21216891619,47778.72107353143,47385.41413701567,52888.21216891619,47778.72107353143,47385.41413701567
2020-06-03 22:02:20,44073.152554033135,43974.49520111219,47385.41413701567,44073.152554033135,43974.49520111219,47385.41413701567
2020-06-03 22:02:40,55992.097560531496,43974.49520111219,47385.41413701567,55992.097560531496,43974.49520111219,47385.41413701567
2020-06-03 22:03:00,55992.097560531496,49149.76428071504,46381.67851174859,55992.097560531496,49149.76428071504,46381.67851174859
2020-06-03 22:03:20,41624.213219269855,49149.76428071504,46381.67851174859,41624.213219269855,49149.76428071504,46381.67851174859
2020-06-03 22:03:40,50290.648611519966,49149.76428071504,46381.67851174859,50290.648611519966,49149.76428071504,46381.67851174859
2020-06-03 22:04:00,50290.648611519966,37884.362350753734,0,50290.648611519966,37884.362350753734,0
2020-06-03 22:04:20,51319.84028638304,0,42752.95703867132,51319.84028638304,0,42752.95703867132
2020-06-03 22:04:40,51319.84028638304,0,42752.95703867132,51319.84028638304,0,42752.95703867132
2020-06-03 22:05:00,51319.84028638304,106.1689994815967,62117.248978774085,51319.84028638304,106.1689994815967,62117.248978774085
2020-06-03 22:05:20,17.019862046040057,106.1689994815967,46166.572912875155,17.019862046040057,106.1689994815967,46166.572912875155
2020-06-03 22:05:40,17.019862046040057,106.1689994815967,46166.572912875155,17.019862046040057,106.1689994815967,46166.572912875155
