"Time","tcss600threads-854bc8697c-jd8d4","tcss600posts-684d4857dc-tdkfz","tcss600users-5cc6c5d95d-svbrh","tcss600threads-854bc8697c-8nm64","tcss600users-5cc6c5d95d-s9nk5","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600users-5cc6c5d95d-nk8rl","tcss600threads-854bc8697c-wnx4s","tcss600posts-684d4857dc-tdkfz","tcss600posts-684d4857dc-nzgfb","tcss600posts-684d4857dc-kpd66","tcss600threads-854bc8697c-jd8d4","tcss600threads-854bc8697c-8nm64","tcss600threads-854bc8697c-wnx4s","tcss600users-5cc6c5d95d-svbrh","tcss600users-5cc6c5d95d-s9nk5","tcss600users-5cc6c5d95d-nk8rl"
2020-06-03 23:36:00,899.4656494758158,63737.21614971968,240.92700429386502,51631.07807914873,76511.19859728059,93.45926525327722,83.67072627661182,375.56212203935166,0,63737.21614971968,93.45926525327722,83.67072627661182,899.4656494758158,51631.07807914873,0,240.92700429386502,76511.19859728059,375.56212203935166
2020-06-03 23:36:20,921.9457296486183,117427.09121601957,240.92700429386502,2481.8225884634026,76511.19859728059,128.2640435584191,83.67072627661182,375.56212203935166,3096.616453670267,117427.09121601957,128.2640435584191,83.67072627661182,921.9457296486183,2481.8225884634026,3096.616453670267,240.92700429386502,76511.19859728059,375.56212203935166
2020-06-03 23:36:40,921.9457296486183,117427.09121601957,181.42284214086686,2481.8225884634026,76511.19859728059,128.26404355841908,83.67072627661182,375.56212203935166,3096.616453670267,117427.09121601957,128.26404355841908,83.67072627661182,921.9457296486183,2481.8225884634026,3096.616453670267,181.42284214086686,76511.19859728059,375.56212203935166
2020-06-03 23:37:00,921.9457296486183,117427.09121601957,181.42284214086686,44297.10389979303,79463.28644303602,175.80530935467948,115.33999391761749,362.9014905726449,63334.53620792386,117427.09121601957,175.80530935467948,115.33999391761749,921.9457296486183,44297.10389979303,63334.53620792386,181.42284214086686,79463.28644303602,362.9014905726449
2020-06-03 23:37:20,957.2064578481233,115281.42327448378,214.38759175982588,53384.46037178603,79463.28644303602,132.3510404549567,56744.52939625627,362.9014905726449,63334.53620792386,115281.42327448378,132.3510404549567,56744.52939625627,957.2064578481233,53384.46037178603,63334.53620792386,214.38759175982588,79463.28644303602,362.9014905726449
2020-06-03 23:37:40,957.2064578481233,115281.42327448378,214.38759175982588,53384.46037178603,79463.28644303602,132.3510404549567,56744.52939625627,362.9014905726449,63334.53620792386,115281.42327448378,132.3510404549567,56744.52939625627,957.2064578481233,53384.46037178603,63334.53620792386,214.38759175982588,79463.28644303602,362.9014905726449
2020-06-03 23:38:00,957.2064578481233,115281.42327448378,214.38759175982588,51979.28186685974,92840.47173994045,135.6493517245947,56277.39033448136,386.7917210491347,82836.256668057,115281.42327448378,135.6493517245947,56277.39033448136,957.2064578481233,51979.28186685974,82836.256668057,214.38759175982588,92840.47173994045,386.7917210491347
2020-06-03 23:38:20,1073.9425922149483,54285.82137362661,186.41027901965828,51979.28186685974,76075.2286719979,135.6493517245947,56277.39033448136,403.55025530310814,60264.37877850716,54285.82137362661,135.6493517245947,56277.39033448136,1073.9425922149483,51979.28186685974,60264.37877850716,186.41027901965828,76075.2286719979,403.55025530310814
2020-06-03 23:38:40,1073.9425922149483,54285.82137362661,797.3187988760621,51979.28186685974,76075.2286719979,135.6493517245947,56277.39033448136,403.55025530310814,60264.37877850716,54285.82137362661,135.6493517245947,56277.39033448136,1073.9425922149483,51979.28186685974,60264.37877850716,797.3187988760621,76075.2286719979,403.55025530310814
2020-06-03 23:39:00,1073.9425922149483,54285.82137362661,797.3187988760621,54979.1633841083,231.80733801173662,83.59900236346789,73658.34982086519,377.2591132063887,63391.967948906,54285.82137362661,83.59900236346789,73658.34982086519,1073.9425922149483,54979.1633841083,63391.967948906,797.3187988760621,231.80733801173662,377.2591132063887
2020-06-03 23:39:20,247.35956928225835,41743.95168722707,695.2882773337768,54979.1633841083,231.80733801173662,83.59900236346789,54677.28337236534,364.8672724033493,63391.967948906,41743.95168722707,83.59900236346789,54677.28337236534,247.35956928225835,54979.1633841083,63391.967948906,695.2882773337768,231.80733801173662,364.8672724033493
2020-06-03 23:39:40,279.38448106515335,52853.072514137864,834.1508223997781,54979.1633841083,231.80733801173668,83.59900236346789,54677.28337236534,364.8672724033493,63391.967948906,52853.072514137864,83.59900236346789,54677.28337236534,279.38448106515335,54979.1633841083,63391.967948906,834.1508223997781,231.80733801173668,364.8672724033493
2020-06-03 23:40:00,279.38448106515335,52853.072514137864,834.1508223997781,51234.13654454202,204.19681102700704,70.30824225103098,74339.49659768351,351.03596747432357,51173.17423563811,52853.072514137864,70.30824225103098,74339.49659768351,279.38448106515335,51234.13654454202,51173.17423563811,834.1508223997781,204.19681102700704,351.03596747432357
